ano,texto_completo
[![](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi1pVw6WYfwq3M-gTzT3mMVZJrnx8tBm1g4-gD8yQMTLjLRYrYwFFgctWBm7dRfCpuYDt4ESsCO7dJBKcm9MlKOaLdYIO8CM8rX64aJAdjTj3uFyFpMo7G_Ni9L8fVhQdTtUin06iFH_yU/s1600/crian%C3%A7a+no+mundo.JPG)](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi1pVw6WYfwq3M-gTzT3mMVZJrnx8tBm1g4-gD8yQMTLjLRYrYwFFgctWBm7dRfCpuYDt4ESsCO7dJBKcm9MlKOaLdYIO8CM8rX64aJAdjTj3uFyFpMo7G_Ni9L8fVhQdTtUin06iFH_yU/s1600/crian%C3%A7a+no+mundo.JPG)

Mas, que mundo é esse? Um mundo que a criança não conhece. Um mundo que a ela
precisa ser apresentado, mas um mundo “perigoso”. A proteção é a casa, a
propriedade (até para os adultos).

  

Nesse sentido, a criança precisa ser preservada do mundo. Dentro de casa, a
_vida em formação_ pode se desenvolver e se conservar (não perecer). Mas é o
adulto que traz a novidade do mundo lá de fora para a criança. Hannah
argumenta que a crise da educação advém de uma mudança no comportamento da
sociedade, quando a autoridade passa a ser desconstruída e desconsiderada. Se
foi a autoridade que sempre orientou e guiou, ao relevá-la, se releva a sua
responsabilidade perante o mundo a ser por ela pilotado. Mas, ao abrir mão
dessa autoridade, a sociedade não a pegou para si – o homem não se
responsabiliza pelo mundo que está aí. E, como ficam nossas crianças? Sem a
autoridade, quem se responsabiliza pelo mundo?

  

A escola tem esse papel: ponte para o mundo. É o professor quem apresenta o
mundo para a criança. É a sua autoridade que pode guiar os passos da criança,
que, só assim, protegida, se conserva e se desenvolve.

  

Mas a autoridade vale somente para a educação e para a criança !!! Entre
adultos, autoridade é coerção, porque aí estamos no campo da política. A
criança precisa ser resguardada da política porque não tem elementos
cognitivos suficientes para tal. O homem deve enfrentar a situação política,
livre da autoridade.

  

[![](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDtdkmG-
rfuRikVvN_tB6suiz2nGUQmQVVbnCXPGVtAunGnIxA1OpcPJsXxi6gP_AGYFTP-
HBNtAHPEHY_l_McSDEZMPd3x8F2c923moYH8ja9pbTlvUsLXidUhE2_wmxXKxLK3b8rjww/s1600/escola.JPG)](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDtdkmG-
rfuRikVvN_tB6suiz2nGUQmQVVbnCXPGVtAunGnIxA1OpcPJsXxi6gP_AGYFTP-
HBNtAHPEHY_l_McSDEZMPd3x8F2c923moYH8ja9pbTlvUsLXidUhE2_wmxXKxLK3b8rjww/s1600/escola.JPG)

  

Autoridade: responsabilidade pela criança; coerção entre adultos.

Educação: conciliando o velho e o novo - o homem sempre é velho no mundo
velho; a criança é nova no mundo novo-para-ela, velho-para-o-homem, precisa
ser conservada para se desenvolver.  
  
Fale Hannah:  
  
  

• A educação não pode desempenhar papel na política, porque na política
lidamos com os que já estão educados. Educar adultos é coerção.

• O que quer que o mundo adulto proponha de novo às crianças é mais velho do
que elas mesmas. Cada geração se transforma no antigo: preparar uma nova
geração para um mundo novo equivale a arrancar-lhes a oportunidade face ao
novo.

• Velho mundo: admirável, mas não encontrou a solução.

 Vamos fazer uma tentativa de análise pragmática de Mauthner baseada nos
fenômenos, com a consideração de que se trata aqui de um pragmatismo negativo
e não um pragmatismo positivo, de ação.  
  
_KANT_  
  

[![](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjOkoa8FM7F1ockP1lVhBI1yHXsgF-I3of-1fNIIdTdNuIggj4isEtWZKM4E0R30zTaheZNSUGGAqwUg5BwdTaq-
Cr7k3END304hcFhTy2JU_Jh34F97EF9scKazWjSPUcT5FXgvSZGgXY/s1600/fenomeno.JPG)](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjOkoa8FM7F1ockP1lVhBI1yHXsgF-I3of-1fNIIdTdNuIggj4isEtWZKM4E0R30zTaheZNSUGGAqwUg5BwdTaq-
Cr7k3END304hcFhTy2JU_Jh34F97EF9scKazWjSPUcT5FXgvSZGgXY/s1600/fenomeno.JPG)

  
Coisa-em-si: substantivo - desconhecido (causa eficiente).  
Relação entre coisas: verbo - desconhecido (causa final).  
Fenômeno: adjetivo - qualidade que aparece.  
  
O que está por trás da coisa-em-si kantiana? O limite da razão, do
conhecimento. Só posso falar de _fenômenos_ , embora me arrisque às vezes na
coisa-em-si, ultrapassando o limite... E Mauthner? Sua intenção é recusar
substantivo e verbo no uso da linguagem?  
  
O mundo kantiano de fenômenos é um mundo ""sem ação"" (sen-S-ação..), porque é
um mundo que ""aparece"", mundo de aparências. Fenômenos que aparecem são formas
sem conteúdo, é uma forma sem ação.  
  
Ao abolir substantivo e verbo da linguagem, abolimos a ação e ficamos presos
em complexos sensíveis não determinados. Ficamos a mercê de complexos
sensíveis em constante mutação.  
  
No momento que uma qualidade sensível aparece como fenômeno, nesse momento
temos um adjetivo. Mas o adjetivo é uma coisa extravagante que se deteriora -
não permanece. O que podemos fazer com ele? Precisamos investigar.  
  

* * * * *

  
É a teoria do conhecimento que Mauthner atinge porque o que conhecemos nos
chega pelos sentidos. É por essa via que o fenômeno deixa uma impressão em
nossa alma. Mas chega subjetivamente porque essa decodificação é de cada um e
está em cada um. Muito embora esse conhecimento seja intelectual, tal
conhecimento intelectual somente pode ser posto intersubjetivamente por um
acordo: porque aceitando as diferenças. Mas defendemos, em outro momento, o
conhecimento pelo verbo: conhecimento instintivo e, talvez, o mais importante.
Porque na hora da situação adversa um consenso acordado será desrespeitado
pela via da necessidade e sobrevivência.  
  

* * * * *

  
O que se apresenta do caminho trilhado por Mauthner é a evolução de nossa
espécie se adaptando às impressões impostas pelo mundo (darwinismo). Porque
são os acidentes que se impõem a nós. Nesse sentido que a memória ganha
importância, enquanto termômetro de sensações. A psicologia caminha
paralelamente com esse contato com o mundo e é quando a evolução se fixa na
busca do melhor caminho. Mas, parece que o melhor caminho é aquele irrefletido
- sem juízo de valor.  
  
Esse rastro de complexos sensuais e sensoriais cria uma herança humana que se
baseia na memória e se expressa pela linguagem. Deslizemos nossa existência
nos desviando de fenômenos indevidos.

   1. O que é a vida? (essa é do abu...)
  2. É preciso mudar algo no mundo?
  3. O que fazer para melhorar nossa condição?

  1. A vida é uma condição orgânica sustentável. Em se tratando do homem, essa condição se degrada ou se revigora baseada em fatores da psique e, se deslocando para fora, fatores culturais, sociais, políticos e... econômicos!!!
  2. É preciso mudar a ordem dos valores. Enquanto ser humano no mundo, precisamos sobreviver, ou: viver-da-melhor-maneira-possível. Qualquer fator externo ao homem deve ser relevado e reduzido ao extremo, qualquer situação adversa deve ser exterminada. A cada dia deve ser feito um brinde à saúde: do corpo e da alma.
  3. Temos que extinguir qualquer tipo de desigualdade e injustiça. Temos que aprender a postura de luta e combate. Não afirmo que o homem é um animal político, mas sei que é social. A nossa condição irá melhorar quando descobrirmos, ao certo, qual a medida da contestação. Uma medida que não nos mate, mas que não nos desmobilize também.

 a decisao e o ato ou processo de escolher. e vivemos escolhendo, a toda hora e
tudo. desde os rumos de nossas vidas a necessidades basicas, desde coisas
irrisorias e bobas a atitudes perigosas e essenciais.

mas a decisao e livre? esse livre-arbitrio tao antigo... duvido dele. estou
aqui escrevendo agora. paro ou nao? depende de mim? depende do que? estou
apertado para ir ao banheiro. vou ou nao? seguro ate quando? se eu for agora,
fui eu quem decidiu? e se eu for daqui dez minutos?

o homem e finito e limitado. faz ciencia e tecnologia observando a natureza.
inventa robos com o que? todos os materiais estao na natureza. o limite do
homem e a vida, nada mais.

dificil acreditar na escolha, na decisao, no livre-arbitrio. toda açao vem da
razao e de nosso sentimento. mas nao conhecemos nem um nem outro. o que e a
razao, o racional? nao sabemos. o que e o sentimento, a paixao? nao sabemos.

sera que decidimos sobre algo?

 Sera que sabemos o valor que o dinheiro tem? Certamente sabemos que e um valor
de equivalencia e esse valor e subjetivo.

Pois, para quem tem muito, o dinheiro traz conforto. E para quem quase nao
tem, o dinheiro e sobrevivencia.

Admiro mais o mendigo do que o rico. Porque o mendigo pede dinheiro, mas o
dinheiro recebido e rapidamente trocado por alguma coisa necessaria: seja um
prato de comida, uma pedra de crack ou uma dose de pinga. O dinheiro do rico
nao e troca: e conforto, excedente. Esse dinheiro COMPRA.

Admiro mais o mendigo porque seu cheiro e cheiro de animal, seus pensamentos
sao imediatos. O mendigo que dorme na rua ve o mundo como ele e. Ele nao tem
propriedade, ele vive. Sua existencia e sempre uma realizaçao, ele nao pode
parar. Ele nao escreve e quase nao le, nao produz porque produzir e criar algo
PARA alguem. Mas produzir algo PARA alguem e produzir algo para QUE alguem
conosco se comprometa.

O cheiro do rico e de sabonete ou de perfume, nao e um cheiro natural. Ele se
aflige porque nao conhece o mundo e precisa GUARDAR seu dinheiro ou mesmo
perpetua-lo. Sua sobrevivencia se projeta no GANHAR dinheiro, ele TEM que
trabalhar. E produz para si, para os seus, para que a prole continue sua
especie.

Admiro o mendigo porque tenho dinheiro e nao posso imaginar o que seria de mim
e de minha vida sem dinheiro e, talvez portanto, sem projeto e sem futuro, sem
nenhuma pegada, nenhum rastro. Admiro o mendigo porque ele e livre. Livre do
dinheiro.

 Gostaríamos de dividir a fala (essa ""vulgar"", do dia-a-dia), no que se refere
ao grau de importância ou relevância, em dois tipos: contingente e necessária.  
  
A fala envolve o falante e o ouvinte numa relação de troca mecânica, de
emissão e recepção de sons, mas atinge também o sentimento e o pensamento:
atinge a pele, o coração e a razão.  
Nesse sentido que queremos caracterizar a fala: o que daí é relevante? O que
daí merece ser analisado sob algum prisma de valor?  
  
A fala contingente é aquela que se dá de modo espontâneo, uma fala que
""brota"", um impulso que explode no ar. Essa fala fica por ali na região do
sensível, é um ato totalmente atrelado ao corpo, do mesmo jeito que vem,
volta. A fala contingente é a fala da paixão, é o grito, o palavrão, o susto,
a braveza, a decepção. Uma fala que ACONTECE.  
  
A fala necessária vem de dentro, é articulada, cada palavra é desenvolvida
dentro de um discurso, é uma fala utilizada como meio para se chegar a algo ou
para atingir um objetivo. A fala necessária é elaborada racionalmente e o que
dela se deve produzir é visto como algo responsável, algo que deve PERMANECER.  
  
Dessa caracterização, podemos associar a fala contingente à existência e a
fala necessária à essência.  
A fala da existência é aquela da pele e do coração que pulsa, que ACONTECE,
vai e vem: dela não se deve guardar mágoa. É um sentimento passageiro, é um
fim em si. Aconteceu, já foi.  
A fala da essência pretende demarcar um território e se origina na razão, ela
PERMANECE. E dessa permanência causas são produzidas e todo um modo de
orientação.  
  
A fala da existência é um apoio para o dia a dia, é útil, mas não é
importante. Não deve ser levada em consideração em qualquer análise mais ampla
ou profunda. Quando visamos coisas importantes, um fim ou uma ideia séria e
sensata, devemos nos ater à fala da essência e só dela poderemos fazer um
juízo de valor.

 ...Mas, alguma coisa some, desaparece? O que morre degrada e vira outro. Se
algo desmancha e vira ar, aí está: o ar! O ar é coisa. o ar é. Não há o que
não é. Nada acaba - tudo se transforma. Até quando? Qual o limite de tudo
isso? Um dia vai explodir ou implodir. Da mesma forma, tudo reverbera: é o
efeito borboleta.  
  
Centenas de milhares de causas e efeitos guiando centenas e milhares de seres
vivos ao longo de centenas e milhares de anos. O que vive, morre. Mas, o que é
morrer? O que é nascer? São dois estalos? O corpo não nasce de um estalo, o
corpo é uma coisa existente antes de ser, fruto de reprodução. O corpo não
morre, ele se decompõe e se transforma.  
  
Do que é composto meu corpo? Células compostas de células de meu pai e minha
mãe, que são compostos de células de meus avós: aí vai se remontando.  
  
O que nos move - a alma - morre?  
O que acontece com esse fluxo, essa chama? Vai para outro? A alma é
reciclável? Nada some!!! Minhas alma é a alma de outro que era de outro e será
de outro. Minha alma é a alma do mundo. Uma só. Nada morre...

 **Leitura 1**

  

Se a biblioteca encerra todos os livros passíveis de serem escritos, lá estão
todas as respostas. Mas qualquer empreitada humana jamais será capaz de
desvendar todos os segredos, por mais que seja essa a última (no sentido de
finalidade) e única tarefa humana, uma tarefa que seja coordenada para durar
todo o tempo que seja necessário e que envolva todos os homens.

  

Tão perto e tão longe. O que se poderia buscar em tal biblioteca? O livro que
conta a história do que procura, ou da amada do que procura? O livro que conta
a história da família do que procura ou o livro que virou o filme que estrelou
semana passada? Tudo e nada. Buscar qualquer história é buscar uma história e
todas as histórias. E toda a história. A biblioteca encerra todos os livros e
contá-los não seria tarefa humana.

  

Organizá-los ou dispô-los em alguma ordem minimamente arbitrária não é
possível. Não há lógica em sua distribuição... (somente em sentido
cosmológico, como veremos abaixo).

  

**Segunda leitura**

  

Qual o sentido da biblioteca total? O sentido é não fazer sentido. O sentido é
não procurar o sentido porque acha-se a loucura ou a morte, mas não se acha o
sentido. As histórias já estão todas contadas, é muito melhor viver uma
história contada sem saber o seu roteiro, do que, ao saber o roteiro, querer
dele fugir, ou querer alterá-lo. O sentido é viver e só.

  

Mas, o que está por trás da solução do problema da Biblioteca Total? Dois
